Area Name,Time Period,Main road accessibility,Local roads density,Motorcycles density,Vehicles density,Active companies rate,Municipality employment rate,Unemployed rate,Transport and storage investments rate,Doctors accessibility,Preschool children enrollment rate,Tourists Arrivals,GVA Per Capita Normalized
Grocka,2016,2.202739382,0.328799568,1.653333333,73.45666667,12.13719091,0.219130854,46,0,1.1,2.663706372,7409,-0.350169045
Grocka,2017,2.191470515,0.328799568,1.596666667,77.28333333,12.40869998,0.234898165,36,0,1.1,2.80851196,10807,-0.278699553
Grocka,2018,2.113687148,0.328799568,1.58,78.83666667,14.43668072,0.252689959,32,0,1.1,2.811481528,10659,-0.27236256
Grocka,2019,1.981880877,0.328799568,1.56,83.26333333,12.79513969,0.264838011,29,0,1.1,2.729139444,12058,-0.239257516
Grocka,2020,1.897651563,0.328799568,1.676666667,87.83,13.03069964,0.277587644,25,0.110261532,1,2.633608299,5328,-0.206669291
Grocka,2021,1.964631407,0.328799568,1.94,91.03666667,13.32766525,0.288301282,23,1.380148672,1,2.863979374,10749,-0.216894608
Zvezdara,2011,0.352394574,0.516294017,33.12903226,1233.741935,20.16629273,0.373623996,58,20.44848885,3.3,3.436806495,3261,0.245118962
Zvezdara,2012,0.352394574,6.633912128,46.5483871,1280.741935,21.09795339,0.37701995,64,24.52829562,3.3,3.581598541,3365,0.165517385
Zvezdara,2013,0.352394574,31.77854888,48.09677419,1341.516129,22.44114274,0.375039539,64,3.409146554,3.2,3.626463219,3890,0.268346694
Zvezdara,2014,0.352394574,33.8185119,51.48387097,1388.096774,24.16619919,0.358704821,64,0.655489826,3.1,3.880557816,4884,0.113314815
Zvezdara,2015,0.352394574,34.15811029,52.19354839,1444.032258,25.86998352,0.357026362,63,5.963999598,3,4.206967882,17330,-0.024581647
Zvezdara,2016,0.352394574,34.15811029,53.12903226,1503.354839,27.36457171,0.342504935,62,2.244223379,2.9,4.288526912,20169,-0.040519033
Zvezdara,2017,0.352394574,34.15811029,55.35483871,1580.83871,28.94669259,0.359469371,51,9.553876069,2.9,4.392104441,16298,0.006500157
Zvezdara,2018,0.352394574,34.15811029,53.93548387,1632.290323,32.88906051,0.374152226,43,5.124460749,2.9,4.462355344,16707,0.072123776
Zvezdara,2019,0.352394574,34.15811029,56.67741935,1717.322581,29.70532602,0.39343154,36,14.3306725,2.8,4.602153414,15538,0.072737852
Zvezdara,2020,0.352394574,33.81690572,59.64516129,1805.451613,30.54726602,0.403878361,33,2.777850882,2.8,4.459098992,3610,0.139107945
Zvezdara,2021,0.352394574,32.45208743,66.67741935,1872.935484,31.06061491,0.422323027,31,3.075789068,2.8,4.518442822,2051,0.118464061
Zemun,2011,0.761148408,34.15804482,5.92,273.3,24.57242666,0.47081815,59,1.767462101,3.8,2.804465762,21736,1.171283155
Zemun,2012,0.761148408,34.15804482,8.273333333,283.92,25.18930522,0.479835644,64,0.099002034,3.7,2.894969977,31649,1.217198072
Zemun,2013,0.761148408,34.15804482,8.54,297.82,26.69307678,0.482426037,67,0.156244105,3.8,2.936091939,36852,1.061019603
Zemun,2014,0.761148408,33.81684025,9.28,305.08,28.203732,0.496199708,66,2.365641449,3.6,2.999935525,48939,1.145384053
Zemun,2015,0.761148408,30.40479453,9.353333333,314.16,29.75660563,0.489698713,61,0.455990597,3.6,3.208394323,50474,1.275206735
Zemun,2016,0.761148408,18.46263452,9.06,329.3733333,31.04112776,0.478631297,58,2.168208885,3.5,3.466459588,56962,1.34455388
Zemun,2017,0.761148408,16.75648591,9.633333333,345.0266667,32.39940044,0.501435249,47,4.280151043,3.6,3.704458717,67981,1.360020241
Zemun,2018,0.761148408,16.75648591,9.32,355.4733333,35.92484371,0.540699444,41,1.608804974,3.6,3.805184049,78672,2.109680746
Zemun,2019,0.761148408,16.75648591,10.19333333,374.3333333,32.14468812,0.558339852,37,6.70288237,3.6,3.879768506,75459,2.043590583
Zemun,2020,0.761148408,16.75510267,10.88666667,391.62,32.67433766,0.567315547,38,1.029606697,3.1,3.813598992,19746,1.163007238
Zemun,2021,0.761148408,16.75221046,11.90666667,408.9533333,33.25567095,0.579505853,36,4.25675973,3.2,3.815769928,34189,1.132986812
Lazarevac,2011,3.433825599,0.309370963,0.885117493,44.4464752,8.550071677,0.599259636,53,2.280445764,1.9,2.306372884,414,2.309475281
Lazarevac,2012,3.433825599,0.309370963,1.754569191,46.5535248,8.424038412,0.62210672,57,0.618953232,1.8,2.289719626,448,1.652907978
Lazarevac,2013,3.433825599,0.309370963,2.033942559,48.00522193,8.757197697,0.63182863,63,0.704928709,1.9,2.234978243,746,1.763718125
Lazarevac,2014,3.433825599,0.309370963,2.039164491,48.62402089,8.923495667,0.631001778,62,1.473841065,1.7,2.191543221,2147,1.72601568
Lazarevac,2015,3.433825599,0.309370963,1.804177546,48.4229765,9.17987356,0.51750495,62,2.515077509,1.7,2.488426577,1272,2.428810713
Lazarevac,2016,3.443083394,0.309370963,1.697127937,49.03394256,9.330826544,0.582316763,64,1.317909616,1.6,2.503740415,859,2.030723336
Lazarevac,2017,3.443083394,0.309370963,1.710182768,50.35248042,9.766171941,0.58605923,57,2.356307757,1.6,3.001028518,555,1.923857654
Lazarevac,2018,3.461033162,0.309370963,1.671018277,50.91906005,10.8678449,0.598128146,49,1.929394179,1.7,3.167958174,666,1.120455274
Lazarevac,2019,3.461033162,0.309370963,1.657963446,52.69190601,9.311776659,0.600820524,43,2.845693082,1.7,3.447985793,867,0.964363331
Lazarevac,2020,3.635319121,0.305044886,1.825065274,54.38381201,9.567928731,0.61305374,39,0,1.6,3.485422331,329,0.902440754
Lazarevac,2021,3.635319121,0.291632937,1.822454308,55.02610966,9.805865494,0.60583034,39,0.019918164,1.8,3.643656541,247,0.90337039
Mladenovac,2011,3.934609662,0.547182993,0.424778761,31.77581121,8.287813147,0.256803488,103,0.087342249,1.8,2.171729663,7674,-0.286406109
Mladenovac,2012,4.005348236,0.547182993,0.802359882,33.28908555,7.929914659,0.261495358,115,0.009704705,1.8,2.376107151,7918,-0.282932997
Mladenovac,2013,4.027152116,0.538941022,0.82300885,34.56932153,8.517726335,0.257176934,114,0.000681418,1.8,2.368535184,7561,-0.241470252
Mladenovac,2014,4.027880578,0.517251808,0.920353982,35.22123894,8.764108887,0.235507145,114,0,1.7,2.550368284,7435,-0.261382349
Mladenovac,2015,4.068756912,0.465932902,0.855457227,36.38053097,9.146051606,0.259765403,111,0,1.7,2.468689268,6061,-0.235035497
Mladenovac,2016,4.101173296,0.453528069,0.884955752,37.73746313,9.524718458,0.284883889,107,0,1.7,2.482673267,5043,-0.259726611
Mladenovac,2017,4.097482729,0.444852384,0.938053097,39.56342183,9.931171993,0.295592303,90,0,1.7,2.542532676,5497,-0.161063754
Mladenovac,2018,4.049857336,0.444852384,0.82300885,39.82890855,10.81154002,0.308111507,75,0,1.7,2.586048499,5990,-0.294079561
Mladenovac,2019,4.149316279,0.440514686,0.790560472,42.07669617,8.989983144,0.306858656,67,0,1.7,2.83000747,7834,-0.284163129
Mladenovac,2020,4.157234009,0.440514686,0.83480826,44.63126844,9.322281814,0.315248995,63,0,1.7,2.742110874,2974,-0.28424063
Mladenovac,2021,4.49633608,0.440514686,0.876106195,46.46902655,9.499459141,0.326523578,60,2.034319992,1.6,2.818831307,2819,-0.288577344
NoviBeograd,2011,0.352394574,16.75026395,35.17073171,2309.512195,35.99472475,0.651477145,56,7.146653805,1.8,4.272503542,126685,2.795634506
NoviBeograd,2012,0.352394574,16.75026395,45.07317073,2201.146341,37.59570282,0.684241208,58,3.011246538,1.8,4.592671207,111847,3.10969151
